Event_id,Episode,Name,LOCODE,Country
1001013,12,Richmond (vir),,Wake Island
1001013,12,Richmond,USRIC,Wake Island
1001013,12,Warwick,,Wake Island
1001013,12,Hopewell,USHPW,Wake Island
1001013,12,Tappahannock,USTKV,Wake Island
1001013,12,West Point,,Wake Island
1001013,12,Fredericksburg,USFDB,Wake Island
1001013,12,Williamsburg,,Wake Island
1001013,12,Piney Point,USPYP,Wake Island
1001013,12,Yorktown,USYKW,Wake Island
1001013,12,Solomons Island,,Wake Island
1001013,12,Norfolk-Newport News,USNEN,Wake Island
1001013,12,Hampton,,Wake Island
1001013,12,Sewells Point,USSWP,Wake Island
1001013,12,Cape Charles,,Wake Island
1001013,12,Alexandria,,Wake Island
1001013,12,Hampton Roads District,USPHF,Wake Island
1001013,12,Washington,,Wake Island
1001013,12,Cape Charles,USCCJ,Wake Island
1001013,12,Cape Henry,,Wake Island
1001013,12,Cambridge,USCGE,Wake Island
1001013,12,Annapolis,USANP,Wake Island
1001013,12,Salisbury,USSLS,Wake Island
1001013,12,Sparrows Point,USSRT,Wake Island
1001013,12,Elizabeth City,USELZ,Wake Island
1001013,12,Hertford,,Wake Island
1001013,12,Baltimore,USBAL,Wake Island
1001013,12,Edenton,USEDB,Wake Island
1001013,12,Kitty Hawk,,Wake Island
1001013,12,Ocean City,,Wake Island
1001013,12,Plymouth,,Wake Island
1001013,12,Columbia,,Wake Island
1001013,12,Lewes,USLWP,Wake Island
1001013,12,Havre de Grace,USHDC,Wake Island
1001013,12,Belhaven,,Wake Island
1001013,12,Washington,,Wake Island
1001013,12,Chesapeake City,USUFG,Wake Island
1001013,12,Cape May,,Wake Island
1001013,12,New Castle,USNQS,Wake Island
1001013,12,Wilmington,USILG,Wake Island
1001013,12,Vandermere,,Wake Island
1001013,12,Marcus Hook,USMAH,Wake Island
1001013,12,Bayboro,,Wake Island
1001013,12,New Bern,,Wake Island
1001013,12,Chester,,Wake Island
1001013,12,Paulsboro,USPAU,Wake Island
1001013,12,Camden,USCDE,Wake Island
1001013,12,Atlantic City,,Wake Island
1001013,12,Cape Hatteras,USCPH,Wake Island
1001013,12,Tuckerton,,Wake Island
1001013,12,Swansboro,,Wake Island
1001013,12,Morehead City,USMRH,Wake Island
1001013,12,Burlington,USBTV,Wake Island
1001013,12,Cape Lookout,,Wake Island
1001013,12,Trenton,,Wake Island
1001013,12,Barnegat,,Wake Island
1001013,12,Wilmington (n.cal),USILM,Wake Island
1001013,12,Wrightsville,USXOG,Wake Island
1001013,12,Sayreville,,Wake Island
1001013,12,Perth Amboy,USPAY,Wake Island
1001013,12,Long Branch,,Wake Island
1001013,12,Leonardo,,Wake Island
1001013,12,Southport,,Wake Island
1001013,12,Cape Fear,USCFN,Wake Island
1001013,12,Georgetown,USGGE,Wake Island
1001013,12,Charleston,USCHS,Wake Island
1001013,12,Port Royal,USPRL,Wake Island
1001013,12,Port Wentworth,USPWN,Wake Island
1001013,12,Beaufort,,Wake Island
1001013,12,Savannah,USSAV,Wake Island
1001013,12,Darien,,Wake Island
1001014,53,Bermuda,,Bermuda
1001014,53,Hamilton,BMBDA,Bermuda
1001014,53,Somerset,,Bermuda
1001014,53,Saint George,BMSGE,Bermuda
1001014,53,Nantucket Island,,Wake Island
1001014,53,Nantucket,,Wake Island
1001014,53,Edgartown,,Wake Island
1001014,53,Chatham,,Wake Island
1001014,53,Vineyard Haven,USVYH,Wake Island
1001014,53,Hyannis,,Wake Island
1001014,53,Woods Hole,USWOH,Wake Island
1001014,53,Falmouth,,Wake Island
1001014,53,Block Island,,Wake Island
1001014,53,Anegada Island,,British Virgin Islands
1001014,53,Montauk Harbor,,Wake Island
1001014,53,Cataumet,,Wake Island
1001014,53,Sandwich Oil Terminal,USSWC,Wake Island
1001014,53,Monument,USMEB,Wake Island
1001014,53,Marion,USMZZ,Wake Island
1001014,53,New Bedford,USEWB,Wake Island
1001014,53,Onset,USONL,Wake Island
1001014,53,Newport,,Wake Island
1001014,53,Wareham,USWMV,Wake Island
1001014,53,Mellville,USMVI,Wake Island
1001014,53,Greenport,,Wake Island
1001014,53,Patchogue,,Wake Island
1001014,53,Stonington,,Wake Island
1001014,53,Northville (Riverhead),USNVR,Wake Island
1001014,53,Tiverton,USTIV,Wake Island
1001014,53,Noank,,Wake Island
1001014,53,Virgin Gorda Island,,British Virgin Islands
1001014,53,Provincetown,USPVC,Wake Island
1001014,53,Fall River,USEWB,Wake Island
1001014,53,New London-Groton Airport,USGON,Wake Island
1001014,53,Norwich,USNOC,Wake Island
1001014,53,Davisville Depot,,Wake Island
1001014,53,New London,USNLD,Wake Island
1001014,53,Road Harbour & Port Purcell,,British Virgin Islands
1001014,53,Duxbury,,Wake Island
1001014,53,San Juan,PRSJU,Puerto Rico
1001014,53,Port Jefferson,USPTJ,Wake Island
1001014,53,Charlotte Amalie,VISTT,Virgin Islands
1001014,53,Cruz Bay,,Virgin Islands
1001014,53,Arecibo,PRARE,Puerto Rico
1001014,53,Clinton,USCLB,Wake Island
1001014,53,Culebra,,Puerto Rico
1001014,53,Essex,,Wake Island
1001014,53,Fajardo,,Puerto Rico
1001014,53,Providence,USPVD,Wake Island
1001014,53,Norwich,,Wake Island
1001014,53,Northport,,Wake Island
1001014,53,Aguadilla,PRBQN,Puerto Rico
1001014,53,Ensenada Honda,,Puerto Rico
1001014,53,Scituate,USSCU,Wake Island
1001014,53,Naguabo,,Puerto Rico
1001014,53,New Haven,USHVN,Wake Island
1001014,53,Isabel Segunda,,Puerto Rico
1001014,53,Puerto de Humacao,,Puerto Rico
1001014,53,Bridgeport,USBDR,Wake Island
1001014,53,Blowing Point,AIBLP,Anguilla
1001014,53,Southport,,Wake Island
1001014,53,North Weymouth,USNWY,Wake Island
1001014,53,Quincy,USMQI,Wake Island
1001014,53,Yabucoa,PRPYA,Puerto Rico
1001014,53,Marigot,,Guadeloupe
1001014,53,Philipsburg,ANPHI,Netherlands Antilles
1001014,53,Maunabo,,Puerto Rico
1001014,53,Clarks Harbour,,Canada
1001014,53,Boston,USBOS,Wake Island
1001014,53,Arroyo,,Puerto Rico
1001014,53,Revere,USRVR,Wake Island
1001014,53,Las Mareas (Guayama),PRLAM,Puerto Rico
1001014,53,Lynn,,Wake Island
1001014,53,Las Mareas,,Puerto Rico
1001014,53,Ponce,PRPSE,Puerto Rico
1001014,53,Salem,USSLM,Wake Island
1001014,53,Gloucester,,Wake Island
1001014,53,Barrington Passage,,Canada
1001014,53,Gustavia,GPGUS,Guadeloupe
1001014,53,Rockport,,Wake Island
1001014,53,Christiansted,VICTD,Virgin Islands
1001014,53,Frederiksted,VIFRD,Virgin Islands
1001014,53,Limetree Bay,VILIB,Virgin Islands
1001014,53,Hovic,VIHOC,Virgin Islands
1001014,53,Lockeport,CALCP,Canada
1001014,53,Shelburne,CASBU,Canada
1001014,53,Wedgeport,,Canada
1001014,53,Newburyport,USNEY,Wake Island
1001014,53,Yarmouth,CAYQI,Canada
1001014,53,Barbuda,AGBBQ,Antigua and Barbuda
1001014,53,Oranjestad,,Netherlands Antilles
1001014,53,Portsmouth,USPSM,Wake Island
1001014,53,Liverpool,CALIV,Canada
1001014,53,Brooklyn,CABKN,Canada
1001014,53,Port Medway,CAPMW,Canada
1001014,53,Kennebunkport,,Wake Island
1001014,53,Basseterre,KNBAS,Saint Kitts and Nevis
1001014,53,Meteghan,CAMET,Canada
1001014,53,Criehaven,,Wake Island
1001014,53,La Have,CALHA,Canada
1001018,43,Shuidong,CNSDG,China
1001018,43,Yangjiang,CNYJI,China
1001018,43,Jiangmen,CNJMN,China
1001018,43,Guangzhou,CNCAN,China
1001018,43,Huangpu,CNHUA,China
1001018,43,Huangpuxingang,,China
1001018,43,Chiwan,CNCWN,China
1001018,43,Hong Kong,HKHKG,Hong Kong (China)
1001018,43,Yantian,CNYTN,China
1001018,43,Spec / lde 888,,China
1001018,43,Xijiang Terminal,,China
1001018,43,Huizhou,,China
1001018,43,Huizhou Terminal,CNHUI,China
1001018,43,Lan Shui Terminal,,China
1001018,43,Shanwei,CNSWE,China
1001018,43,Lufeng Terminal,,China
1001018,43,Quanzhou,CNQZJ,China
1001018,43,Pratas Island,,China
1001018,43,Shantou,CNSWA,China
1001018,43,Huaang Kang,,China
1001018,43,Zhangzhou,,China
1001018,43,Zhangzhou,CNZZU,China
1001018,43,Xiamen,CNXMN,China
1001018,43,Chin Men,,China
1001018,43,Peng Hu,,Taiwan
1001018,43,Xiuyu,,China
1001018,43,Tai Chung,,Taiwan
1001018,43,An Ping Chiang,,Taiwan
1001018,43,Kaohsiung,TWKHH,Taiwan
1001018,43,Tai Nan,,Taiwan
1001018,43,Dirique Inlet,,Philippines
1001018,43,Taichung,TWTXG,Taiwan
1001018,43,Tai Tung,,Taiwan
1001018,43,Claveria,,Philippines
1001018,43,Lan Yu Island,,Taiwan
1001018,43,Calayan,,Philippines
1001018,43,Basco,,Philippines
1001018,43,Hualien,TWHUN,Taiwan
1001018,43,Tan Shui,,Taiwan
1001018,43,Suao,TWSUO,Taiwan
1001018,43,Keelung (Chilung),TWKEL,Taiwan
1001018,43,Irionote Island,,Japan
1001018,43,Ishigaki,,Japan
1001018,43,Ishigaki Island,,Japan
1001019,33,San Blas,MXSBS,Mexico
1001019,33,Puerto Vallarta,MXPVR,Mexico
1001019,33,Ipala,,Mexico
1001019,33,El Tabaco,,Mexico
1001019,33,Chamela,,Mexico
1001019,33,Manzanillo,MXZLO,Mexico
1001019,33,Socorro Island,,Mexico
1001019,33,Roca Partido Island,,Mexico
1001023,14,Paso,,China
1001023,14,Basuo,CNBAS,China
1001023,14,Cua Lo,,China
1001023,14,Wei Chou Island,,China
1001023,14,Bei Hai,CNBHY,China
1001024,24,Altata,,Mexico
1001024,24,Topolobampo,MXTPB,Mexico
1001024,24,Buenavista,,Mexico
1001024,24,Yavaros,,Mexico
1001024,24,La Paz,,Mexico
1001024,24,San Hose Del Cabo,,Mexico
1001024,24,San Juan de la Costa,MXSJC,Mexico
1001024,24,San Lucas,,Mexico
1001024,24,Bahia Salinas,,Mexico
1001024,24,Loreto,,Mexico
1001024,24,Socorro Island,,Mexico
1001025,40,Saint George,BMSGE,Bermuda
1001025,40,Hamilton,BMBDA,Bermuda
1001025,40,Bermuda,,Bermuda
1001025,40,Somerset,,Bermuda
1001025,40,Barbuda,AGBBQ,Antigua and Barbuda
1001025,40,Blowing Point,AIBLP,Anguilla
1001025,40,Marigot,,Guadeloupe
1001025,40,Philipsburg,ANPHI,Netherlands Antilles
1001025,40,Gustavia,GPGUS,Guadeloupe
1001025,40,Anegada Island,,British Virgin Islands
1001025,40,Parham Harbour,,Antigua and Barbuda
1001025,40,Saint Johns,AGSJO,Antigua and Barbuda
1001025,40,Virgin Gorda Island,,British Virgin Islands
1001025,40,Oranjestad,,Netherlands Antilles
1001025,40,Road Harbour & Port Purcell,,British Virgin Islands
1001025,40,Basseterre,KNBAS,Saint Kitts and Nevis
1001025,40,Charlestown,KNNEV,Saint Kitts and Nevis
1001025,40,Cruz Bay,,Virgin Islands
1001025,40,Charlotte Amalie,VISTT,Virgin Islands
1001025,40,Port Louis,,Guadeloupe
1001025,40,Plymouth,,Montserrat
1001025,40,Pointe-a-Pitre,GPPTP,Guadeloupe
1001025,40,Saint Louis,,Guadeloupe
1001025,40,Grand Bourg,,Guadeloupe
1001025,40,Basse Terre,GPBBR,Guadeloupe
1001025,40,Bourg Des Saintes,,Guadeloupe
1001025,40,Portsmouth,DMPOR,Dominica
1001025,40,Roseau,DMRSU,Dominica
1001025,40,La Trinite,,Martinique
1001025,40,Le Robert,,Martinique
1001025,40,Saint Pierre,,Martinique
1001025,40,Fort de France,MQFDF,Martinique
1001025,40,Le Marin,,Martinique
1001025,40,Castries,LCSLU,Saint Lucia
1001025,40,Cul de Sac Bay,LCCDS,Saint Lucia
1001025,40,Vieux Fort,,Saint Lucia
1001025,40,Speightstown,,Barbados
1001025,40,Bridgetown,BBBGI,Barbados
1001026,16,Nishtun,YENIS,Yemen
1001026,16,Ras Fartak,,Yemen
1001026,16,Sayhut,,Yemen
1001026,16,Damqawt,,Yemen
1001026,16,Hadibu,,Yemen
1001027,18,Port Sandwich,VUPSA,Vanuatu
1001027,18,Santo,VUSAN,Vanuatu
1001027,18,Palikoulo Bay,,Vanuatu
1001027,18,Port Vila,VUVLI,Vanuatu
1001027,18,Turtle Bay,,Vanuatu
1001027,18,Ambryn Island,,Vanuatu
1001027,18,Hog Harbor,,Vanuatu
1001027,18,Pentecost Island,,Vanuatu
1001027,18,Maewo Island,,Vanuatu
1001027,18,Banks Island,,Vanuatu
1001027,18,Peu,,Soloman Islands
1001027,18,Graciosa Bay,,Soloman Islands
1001028,15,Acapulco,MXACA,Mexico
1001028,15,Puerto Marques,,Mexico
1001029,7,Cox's Bazaar,,Bangladesh
1001029,7,Elephant Point,,Bangladesh
1001033,13,Kandavu Island,,Fiji
1001033,13,Suva,FJSUV,Fiji
1001033,13,Levuka,FJLEV,Fiji
1001033,13,Vuda,FJVUD,Fiji
1001033,13,Lautoka,FJLTK,Fiji
1001033,13,Vatia,FJVAT,Fiji
1001034,4,Narayanganj,BDNAR,Bangladesh
1001034,4,Chittagong,BDCGP,Bangladesh
1001034,4,Chalna,BDCHL,Bangladesh
1001034,4,Mongla,BDMGL,Bangladesh
1001037,8,Krishnapatnam,,India
1001037,8,Madras,INMAA,India
1001038,35,Cooktown,AUCTN,Coral Sea Islands
1001038,35,Port Souglas,,Coral Sea Islands
1001038,35,Cape Flattery,AUCQP,Coral Sea Islands
1001038,35,Cairns,AUCNS,Coral Sea Islands
1001038,35,Abbot Point,AUABP,Coral Sea Islands
1001038,35,Bowen,AUZBO,Coral Sea Islands
1001038,35,Gizo Is,SBGZO,Soloman Islands
1001038,35,Ringi Cove,SBRIN,Soloman Islands
1001038,35,Port Noro,SBNOR,Soloman Islands
1001038,35,Viru Harbour,SBVIU,Soloman Islands
1001038,35,Lever Harbor,,Soloman Islands
1001040,18,Farafangana,MGRVA,Madagascar
1001040,18,Manakara,MGWVK,Madagascar
1001040,18,Mananjary,MGMNJ,Madagascar
1001040,18,Toliara,MGTLE,Madagascar
1001040,18,Manombo,MGMOB,Madagascar
1001040,18,Morombe,MGMXM,Madagascar
1001040,18,Belo Sur Mer,,Madagascar
1001040,18,Antongo,,Madagascar
1001040,18,Morondava,MGMOQ,Madagascar
1001041,27,Port Mathurin,,Mauritius
1001041,27,Mahebourg,,Mauritius
1001041,27,Port Louis,MUPLU,Mauritius
1001041,27,Saint Pierre,,Reunion
1001041,27,Saint Denis,,Reunion
1001041,27,Pointe Des Galets,REPDG,Reunion
1001043,14,Bentinck Island,,Coral Sea Islands
1001043,14,Mornington Island,,Coral Sea Islands
1001043,14,Karumba,,Coral Sea Islands
1001043,14,Karumba,,Coral Sea Islands
1001043,14,Port Souglas,,Coral Sea Islands
1001043,14,Cairns,AUCNS,Coral Sea Islands
1001043,14,Innisfail,,Coral Sea Islands
1001043,14,Mourilyan,AUMOU,Coral Sea Islands
1001043,14,Lucinda,AULUC,Coral Sea Islands
1001043,14,Townsville,AUTSV,Coral Sea Islands
1001043,14,Abbot Point,AUABP,Coral Sea Islands
1001043,14,Bowen,AUZBO,Coral Sea Islands
1001044,13,Mahebourg,,Mauritius
1001044,13,Saint Pierre,,Reunion
1001044,13,Port Louis,MUPLU,Mauritius
1001044,13,Saint Denis,,Reunion
1001044,13,Pointe Des Galets,REPDG,Reunion
1001044,13,Port Mathurin,,Mauritius
1001047,7,Manua Island,,American Samoa
1001048,12,Forari Bay,,Vanuatu
1001048,12,Port Vila,VUVLI,Vanuatu
1001048,12,Ambryn Island,,Vanuatu
1001048,12,Pentecost Island,,Vanuatu
1001048,12,Port Sandwich,VUPSA,Vanuatu
1001048,12,Palikoulo Bay,,Vanuatu
1001048,12,Santo,VUSAN,Vanuatu
1001048,12,Turtle Bay,,Vanuatu
1001048,12,Hog Harbor,,Vanuatu
1001050,13,Cape Leveque,,Coral Sea Islands
1001050,13,Yampi Sound,,Coral Sea Islands
1001050,13,Yampi,AUYAM,Coral Sea Islands
1001051,4,Avatiu,,Cook Islands
1001051,4,Arutunga,,Cook Islands
1001052,20,Mahebourg,,Mauritius
1001052,20,Saint Pierre,,Reunion
1001052,20,Port Louis,MUPLU,Mauritius
1001052,20,Saint Denis,,Reunion
1001052,20,Pointe Des Galets,REPDG,Reunion
1001055,42,Christmas Island,,Christmas Island
1001057,11,Maromandia,,Madagascar
1001057,11,Nossi-Be,MGNOS,Madagascar
1001057,11,Analalava,,Madagascar
1001057,11,Port St. Louis,MGPSL,Madagascar
1001057,11,Vohemar,,Madagascar
1001057,11,Cap Diego,,Madagascar
1001057,11,Antsiranana,MGDIE,Madagascar
1001057,11,Sambava,MGSVB,Madagascar
1001057,11,Cape Amber,,Madagascar
1001057,11,Maroantsetra,MGWMN,Madagascar
1001057,11,Antataha,MGANM,Madagascar
1001057,11,Mananara,MGWMR,Madagascar
1001057,11,Saint Mary Island,,Madagascar
1001058,21,Griffin Venture,AUGRV,Coral Sea Islands
1001058,21,Saladin Marine Terminal,AUSMT,Coral Sea Islands
1001058,21,Airlie Island Terminal,,Coral Sea Islands
1001058,21,Onslow,,Coral Sea Islands
1001058,21,Port Exmouth,,Coral Sea Islands
1001058,21,Barrow Island,AUBWB,Coral Sea Islands
1001058,21,Varanus Island,AUVAR,Coral Sea Islands
1001058,21,Cape Preston,AUCPN,Coral Sea Islands
1001058,21,Wandoo Marine Terminal,,Coral Sea Islands
1001058,21,Dampier,AUDAM,Coral Sea Islands
1001058,21,Withnell Bay,,Coral Sea Islands
1001058,21,Cossack Pioneer,AUCOP,Coral Sea Islands
1001060,15,Kisiju,,Tanzania
1001060,15,Kilondoni,,Tanzania
1001060,15,Mjimwema Terminal,,Tanzania
1001060,15,Dar-es-Salaam,TZDAR,Tanzania
1001060,15,Kilwa Kivinje,TZKIK,Tanzania
1001060,15,Kilwa Masoko,TZKIM,Tanzania
1001060,15,Zanzibar,TZZNZ,Tanzania
1001060,15,Pangani,TZPAN,Tanzania
1001060,15,Mkoani,,Tanzania
1001060,15,Tanga,TZTGT,Tanzania
1001060,15,Assumption Island,,Seychelles
1001061,24,Chake Chake,,Tanzania
1001061,24,Saint Pierre Island,,Seychelles
1001061,24,Providence Island,,Seychelles
1001063,26,Yaene,,Japan
1001063,26,Aoga Island,,Japan
1001063,26,Mikura,,Japan
1001063,26,Miyake,,Japan
1001063,26,Kozu Island,,Japan
1001063,26,Nii,,Japan
1001063,26,Tateyama,JPTTY,Japan
1001063,26,Katsuura Ko,,Japan
1001063,26,Choshi,JPCHO,Japan
1001063,26,Kita,,Japan
1001063,26,Okino,,Japan
1001063,26,Casiguaran,,Philippines
1001063,26,Jose Panganiban,PHJPM,Philippines
1001063,26,Dahikan,,Philippines
1001063,26,Paracale,,Philippines
1001063,26,Polillo Island,,Philippines
1001063,26,Puerto Real,,Philippines
1001063,26,Port Ragay,,Philippines
1001063,26,Aloneros,,Philippines
1001063,26,Hondagua / Siain,PHHON,Philippines
1001063,26,Mauban,,Philippines
1001063,26,Siain,,Philippines
1001063,26,Antimonan,PHATI,Philippines
1001063,26,Catanauan,,Philippines
1001063,26,Navotas,,Philippines
1001063,26,Unisan,,Philippines
1001063,26,General Luna,,Philippines
1001063,26,Manila,PHMNL,Philippines
1001063,26,Cavite,PHCVE,Philippines
1001063,26,Santa Cruz,,Philippines
1001063,26,Port Balancan,,Philippines
1001063,26,Gasan,PHGAS,Philippines
1001063,26,Tabangoa,PHTBG,Philippines
1001063,26,Batangas,PHBLG,Philippines
1001063,26,Nasugbu,PHNUG,Philippines
1001063,26,Calaca,,Philippines
1001063,26,Pagapas,,Philippines
1001063,26,Calapan / Batangas,PHCLP,Philippines
1001063,26,Pinamalayan,,Philippines
1001064,6,Haldia,INHAL,India
1001064,6,Port Canning,,India
1001064,6,Budge-Budge,INBUD,India
1001064,6,Calcutta,INCCU,India
1001064,6,Howrah,,India
1001064,6,Balasore,,India
1001064,6,Mongla,BDMGL,Bangladesh
1001064,6,Baleshwar,,India
1001064,6,Chalna,BDCHL,Bangladesh
1001064,6,Paradip,INPRT,India
1001064,6,Faridpur,,Bangladesh
1001064,6,Pabna,,Bangladesh
1001064,6,Narayanganj,BDNAR,Bangladesh
1001066,13,Altamira,,Mexico
1001066,13,Tampico,MXTAM,Mexico
1001066,13,Ciudad Madero,,Mexico
1001066,13,Tuxpan,MXTUX,Mexico
1001066,13,Brownsville,USBRO,Wake Island
1001066,13,Port Isabel,USPIS,Wake Island
1001066,13,Acapulco,MXACA,Mexico
