Event_id,Episode,Depth,Lat/lon,Event_Date,Population,Source,Inserted_at,INFORM_Score,Event_summary
1449655,1598491,10 Km,"-27.7875 , -176.3663","16 Oct 2024 18:59 UTC
16 Oct 2024 06:59 Local",,NEIC us6000nz5p,16 Oct 2024 19:31 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449659,1598496,10 Km,"18.4898 , -106.9116","16 Oct 2024 19:40 UTC
16 Oct 2024 12:40 Local",,NEIC us6000nz5z,16 Oct 2024 20:01 UTC,1.1 (Mexico),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449664,1598503,10 Km,"-31.1421 , -176.7602","16 Oct 2024 18:44 UTC
16 Oct 2024 06:44 Local",,NEIC us6000nz5l,16 Oct 2024 20:24 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449665,1598505,10 Km,"9.1426 , 40.1541","16 Oct 2024 20:11 UTC
16 Oct 2024 23:11 Local",6 thousand in MMI VI,NEIC us6000nz6e,16 Oct 2024 20:51 UTC,6.8 (Ethiopia),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449679,1598526,10 Km,"2.0515 , -79.7463","16 Oct 2024 22:04 UTC
16 Oct 2024 17:04 Local",5 thousand in MMI III,NEIC us6000nz6y,16 Oct 2024 22:29 UTC,1.1 (Colombia),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449680,1598529,10 Km,"40.9571 , 78.4825","16 Oct 2024 22:23 UTC
17 Oct 2024 06:23 Local",7 thousand in MMI VI,NEIC us6000nz72,16 Oct 2024 22:37 UTC,3.6 (China),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449681,1598531,10 Km,"49.7056 , -28.4864","16 Oct 2024 22:25 UTC
16 Oct 2024 20:25 Local",,NEIC us6000nz75,16 Oct 2024 22:41 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449684,1598535,10 Km,"-19.1691 , -173.5251","16 Oct 2024 22:51 UTC
16 Oct 2024 10:51 Local",20 thousand in MMI III,NEIC us6000nz79,16 Oct 2024 23:12 UTC,1.1 (Tonga),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449695,1598551,10 Km,"-31.3191 , -176.7166","17 Oct 2024 01:01 UTC
16 Oct 2024 13:01 Local",,NEIC us6000nz7p,17 Oct 2024 01:25 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449700,1598555,580.3 Km,"-22.3873 , -179.4303","17 Oct 2024 01:28 UTC
16 Oct 2024 13:28 Local",Few people affected in MMI -,NEIC us6000nz84,17 Oct 2024 01:47 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449712,1598567,10 Km,"-14.0477 , 167.9479","17 Oct 2024 02:18 UTC
17 Oct 2024 13:18 Local",3 thousand in MMI IV,NEIC us6000nz8e,17 Oct 2024 02:36 UTC,1.1 (Vanuatu),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449722,1598586,10 Km,"-31.2423 , -176.7829","17 Oct 2024 04:20 UTC
16 Oct 2024 16:20 Local",,NEIC us6000nz8w,17 Oct 2024 04:48 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449727,1598595,10 Km,"-27.867 , -176.3182","17 Oct 2024 05:37 UTC
16 Oct 2024 17:37 Local",,NEIC us6000nz9e,17 Oct 2024 05:57 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449736,1598610,7.3 Km,"39.6487 , 37.3384","17 Oct 2024 08:29 UTC
17 Oct 2024 11:29 Local",4 thousand in MMI V,NEIC us6000nza6,17 Oct 2024 08:47 UTC,3.2 (TÃ¼rkiye),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449746,1598624,149.7 Km,"5.9232 , 125.9271","17 Oct 2024 09:58 UTC
17 Oct 2024 17:58 Local",2.2 million in MMI III,NEIC us6000nzar,17 Oct 2024 10:31 UTC,1.1 (Philippines),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449749,1598623,10 Km,"-27.9342 , -176.4266","17 Oct 2024 10:07 UTC
16 Oct 2024 22:07 Local",,NEIC us6000nzat,17 Oct 2024 10:26 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449754,1598631,39.8 Km,"-27.9039 , -176.6036","17 Oct 2024 10:33 UTC
16 Oct 2024 22:33 Local",,NEIC us6000nzb2,17 Oct 2024 10:54 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449757,1598637,610.5 Km,"-20.0702 , -178.3152","17 Oct 2024 11:18 UTC
17 Oct 2024 23:18 Local",1 thousand in MMI I,NEIC us6000nzbh,17 Oct 2024 11:36 UTC,1.1 (Fiji),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449761,1598643,10 Km,"-31.2729 , -176.4431","17 Oct 2024 11:36 UTC
16 Oct 2024 23:36 Local",,NEIC us6000nzbq,17 Oct 2024 12:29 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449780,1598683,10 Km,"19.7596 , -75.9358","17 Oct 2024 14:50 UTC
17 Oct 2024 10:50 Local",320 thousand in MMI IV,NEIC us6000nzct,17 Oct 2024 16:36 UTC,3.1 (Cuba),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449798,1598691,93.8 Km,"-56.3494 , -27.1279","17 Oct 2024 16:33 UTC
17 Oct 2024 14:33 Local",,NEIC us6000nzds,17 Oct 2024 17:14 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449819,1598740,169.5 Km,"-18.9244 , 168.9301","17 Oct 2024 19:01 UTC
18 Oct 2024 06:01 Local",40 thousand in MMI III,NEIC us6000nzeg,17 Oct 2024 21:49 UTC,6.1 (Vanuatu),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449820,1598737,10 Km,"-6.6578 , 72.733","17 Oct 2024 18:17 UTC
17 Oct 2024 23:17 Local",,NEIC us6000nzeb,17 Oct 2024 21:37 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449844,1598756,10 Km,"43.6949 , -125.6927","18 Oct 2024 00:58 UTC
17 Oct 2024 16:58 Local",3 thousand in MMI III,NEIC us6000nzg2,18 Oct 2024 01:19 UTC,1.1 (United States),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449849,1598764,35 Km,"-6.7196 , 155.0486","18 Oct 2024 01:41 UTC
18 Oct 2024 12:41 Local",20 thousand in MMI IV,NEIC us6000nzgl,18 Oct 2024 02:09 UTC,7.6 (Papua New Guinea),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449868,1598786,63.4 Km,"40.2963 , 142.3273","18 Oct 2024 04:38 UTC
18 Oct 2024 13:38 Local",330 thousand in MMI IV,NEIC us6000nzgv,18 Oct 2024 04:59 UTC,1.1 (Japan),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449875,1598792,10 Km,"-7.5405 , 156.2994","18 Oct 2024 05:25 UTC
18 Oct 2024 16:25 Local",2 thousand in MMI IV,NEIC us6000nzhb,18 Oct 2024 05:55 UTC,6.6 (Solomon Is.),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449890,1598814,10 Km,"12.1484 , -89.0917","18 Oct 2024 07:17 UTC
18 Oct 2024 01:17 Local",,NEIC us6000nzhn,18 Oct 2024 08:14 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449899,1598824,1.8 Km,"25.249 , 142.7832","18 Oct 2024 09:18 UTC
18 Oct 2024 19:18 Local",,NEIC us6000nzi5,18 Oct 2024 09:38 UTC,1.1 (Japan),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449905,1598833,63.2 Km,"15.9246 , -94.7285","18 Oct 2024 10:26 UTC
18 Oct 2024 04:26 Local",20 thousand in MMI IV,NEIC us6000nzic,18 Oct 2024 10:45 UTC,1.1 (Mexico),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449931,1598863,144.3 Km,"25.4656 , 140.9827","18 Oct 2024 14:49 UTC
18 Oct 2024 23:49 Local",Few people affected in MMI -,NEIC us6000nziy,18 Oct 2024 15:13 UTC,1.1 (Japan),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449963,1598906,32.9 Km,"-18.9181 , -172.6711","19 Oct 2024 00:18 UTC
18 Oct 2024 12:18 Local",,NEIC us6000nznl,19 Oct 2024 00:39 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449965,1598909,10 Km,"-42.6139 , -82.2238","19 Oct 2024 00:43 UTC
18 Oct 2024 19:43 Local",,NEIC us6000nznv,19 Oct 2024 01:06 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449969,1598914,132.6 Km,"-56.0801 , -27.8702","19 Oct 2024 01:20 UTC
18 Oct 2024 23:20 Local",,NEIC us6000nzp2,19 Oct 2024 01:40 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449993,1598939,9.5 Km,"34.7569 , 26.325","19 Oct 2024 07:08 UTC
19 Oct 2024 09:08 Local",2 thousand in MMI IV,NEIC us6000nzpu,19 Oct 2024 07:26 UTC,1.1 (Greece),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450024,1598972,10 Km,"-13.7884 , 66.1092","19 Oct 2024 13:32 UTC
19 Oct 2024 17:32 Local",,NEIC us6000nzqz,19 Oct 2024 13:53 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450039,1598994,284.3 Km,"-23.9434 , -67.4746","19 Oct 2024 15:29 UTC
19 Oct 2024 12:29 Local",7 thousand in MMI I,NEIC us6000nzrd,19 Oct 2024 16:06 UTC,3.7 (Argentina),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450041,1598995,57.7 Km,"5.2966 , 94.2601","19 Oct 2024 15:36 UTC
19 Oct 2024 21:36 Local",7 thousand in MMI III,NEIC us6000nzrf,19 Oct 2024 16:13 UTC,1.1 (Indonesia),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450049,1599004,42.9 Km,"-6.0105 , 146.7063","19 Oct 2024 17:29 UTC
20 Oct 2024 03:29 Local",430 thousand in MMI III,NEIC us6000nzrq,19 Oct 2024 17:59 UTC,7.6 (Papua New Guinea),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450050,1599008,51.7 Km,"0.5542 , 119.8795","19 Oct 2024 18:07 UTC
20 Oct 2024 02:07 Local",320 thousand in MMI IV,NEIC us6000nzru,19 Oct 2024 18:25 UTC,4.8 (Indonesia),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450061,1599019,107.1 Km,"-26.3568 , -68.8468","19 Oct 2024 22:26 UTC
19 Oct 2024 19:26 Local",8 thousand in MMI III,NEIC us6000nzsk,19 Oct 2024 22:49 UTC,3 (Chile),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450066,1599028,113.6 Km,"42.8016 , 145.1759","19 Oct 2024 23:37 UTC
20 Oct 2024 09:37 Local",320 thousand in MMI III,NEIC us6000nzt2,20 Oct 2024 00:01 UTC,1.5 (Japan),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450088,1599055,87.1 Km,"3.5515 , 127.7931","20 Oct 2024 04:44 UTC
20 Oct 2024 13:44 Local",4 thousand in MMI III,NEIC us6000nzu5,20 Oct 2024 05:06 UTC,1.1 (Indonesia),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450091,1599062,109.6 Km,"0.2396 , 121.0356","20 Oct 2024 05:24 UTC
20 Oct 2024 13:24 Local",570 thousand in MMI III,NEIC us6000nzu9,20 Oct 2024 06:30 UTC,4.8 (Indonesia),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450096,1599067,68.6 Km,"-29.1607 , -71.0126","20 Oct 2024 08:02 UTC
20 Oct 2024 05:02 Local",490 thousand in MMI III,NEIC us6000nzux,20 Oct 2024 08:17 UTC,3 (Chile),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450100,1599072,126.5 Km,"-5.5246 , 154.2674","20 Oct 2024 09:08 UTC
20 Oct 2024 19:08 Local",1 thousand in MMI IV,NEIC us6000nzv6,20 Oct 2024 09:30 UTC,1.1 (Papua New Guinea),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450115,1599098,149.2 Km,"-24.6004 , -177.0109","20 Oct 2024 10:06 UTC
19 Oct 2024 22:06 Local",,NEIC us6000nzve,20 Oct 2024 11:49 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450129,1599111,589 Km,"-21.9112 , -179.5505","20 Oct 2024 12:31 UTC
20 Oct 2024 00:31 Local",,NEIC us6000nzvu,20 Oct 2024 13:12 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450141,1599134,230.6 Km,"-23.0782 , -66.3942","20 Oct 2024 13:56 UTC
20 Oct 2024 10:56 Local",5 thousand in MMI II,NEIC us6000nzw3,20 Oct 2024 15:52 UTC,3.7 (Argentina),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450155,1599140,63.8 Km,"5.3286 , 94.3379","20 Oct 2024 16:13 UTC
20 Oct 2024 22:13 Local",10 thousand in MMI III,NEIC us6000nzwe,20 Oct 2024 17:00 UTC,1.1 (Indonesia),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1450160,1599148,10 Km,"39.4263 , 73.644","20 Oct 2024 17:44 UTC
20 Oct 2024 23:44 Local",1 thousand in MMI&>=IV,NEIC us6000nzwl,20 Oct 2024 18:12 UTC,5.1 (Tajikistan),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
